Time,Site,Quadrat,Size,Count,Morphology
2021,NE_Pelorus,I,4,17,Other
2021,NE_Pelorus,II,1,1,Branching
2021,NE_Pelorus,II,2,2,Branching
2021,NE_Pelorus,II,3,1,Branching
2021,NE_Pelorus,II,4,7,Branching
2021,NE_Pelorus,II,1,11,Other
2021,NE_Pelorus,II,2,13,Other
2021,NE_Pelorus,II,3,5,Other
2021,NE_Pelorus,II,4,4,Other
2021,NE_Pelorus,III,1,2,Branching
2021,NE_Pelorus,III,2,1,Branching
2021,NE_Pelorus,III,3,0,Branching
2021,NE_Pelorus,III,4,0,Branching
2021,NE_Pelorus,III,1,2,Other
2021,NE_Pelorus,III,2,8,Other
2021,NE_Pelorus,III,3,7,Other
2021,NE_Pelorus,III,4,4,Other
2021,SE_Pelorus,I,1,1,Branching
2021,SE_Pelorus,I,2,0,Branching
2021,SE_Pelorus,I,3,3,Branching
2021,SE_Pelorus,I,4,1,Branching
2021,SE_Pelorus,I,1,2,Other
2021,SE_Pelorus,I,2,5,Other
2021,SE_Pelorus,I,3,5,Other
2021,SE_Pelorus,I,4,7,Other
2021,SE_Pelorus,II,1,0,Branching
2021,SE_Pelorus,II,2,2,Branching
2021,SE_Pelorus,II,3,0,Branching
2021,SE_Pelorus,II,4,0,Branching
2021,SE_Pelorus,II,1,2,Other
2021,SE_Pelorus,II,2,5,Other
2021,SE_Pelorus,II,3,4,Other
2021,SE_Pelorus,II,4,10,Other
2021,SE_Pelorus,III,1,0,Branching
2021,SE_Pelorus,III,2,0,Branching
2021,SE_Pelorus,III,3,1,Branching
2021,SE_Pelorus,III,4,3,Branching
2021,SE_Pelorus,III,1,1,Other
2021,SE_Pelorus,III,2,1,Other
2021,SE_Pelorus,III,3,2,Other
2021,SE_Pelorus,III,4,5,Other
2021,NE_Orpheus,I,1,0,Branching
2021,NE_Orpheus,I,2,1,Branching
2021,NE_Orpheus,I,3,0,Branching
2021,NE_Orpheus,I,4,0,Branching
2021,NE_Orpheus,I,1,0,Other
2021,NE_Orpheus,I,2,2,Other
2021,NE_Orpheus,I,3,5,Other
2021,NE_Orpheus,I,4,5,Other
2021,NE_Orpheus,II,1,1,Branching
2021,NE_Orpheus,II,2,0,Branching
2021,NE_Orpheus,II,3,0,Branching
2021,NE_Orpheus,II,4,3,Branching
2021,NE_Orpheus,II,1,4,Other
2021,NE_Orpheus,II,2,3,Other
2021,NE_Orpheus,II,3,5,Other
2021,NE_Orpheus,II,4,7,Other
2021,NE_Orpheus,III,1,0,Branching
2021,NE_Orpheus,III,2,1,Branching
2021,NE_Orpheus,III,3,0,Branching
2021,NE_Orpheus,III,4,0,Branching
2021,NE_Orpheus,III,1,2,Other
2021,NE_Orpheus,III,2,4,Other
2021,NE_Orpheus,III,3,5,Other
2021,NE_Orpheus,III,4,6,Other
