,Site,Example,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper point ,Snapper point ,Cattle bay ,Cattle bay ,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Pioneer Bay,Snapper Point,Cattle Bay,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper Pont,Cattle Bay,Hazard Bay,SW Pelorus,Iris Pt,Hazard Bay,SW Pelorus,Iris,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Peloris,Iris Point,Hazard Bay,SW Pelorus,Ires Point,Hazard,SW Pelorus,Iris point,Hazard Bay,South West Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,SW Pelorus,Clam Garden,SW Pelorus,Clam Garden,SW Pelorus visit #2,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Garden,SW Pelorus visit #2,Clam Gard.,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Southwest Pelorus vist #2,Clam Gardens,Little Pioneer Bay South,Little Pioneer bay South,Little Pioneer Bay South,Little Pioneer Bay South
,Diploastrea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,Echinopora,3,1,0,5,2,0,0,22,10,3,0,0,1,0,0,0,0,0,0,0,17,7,3,8,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,1,2,0,0,5,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0
,Euphyllia,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Favia,7,3,1,2,1,2,1,26,9,0,0,2,1,0,0,0,1,0,0,0,13,2,4,2,2,2,0,2,3,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,2,0,1,7,3,1,5,0,0,3,2,5,1,0,0,0,3,0,1,6,0,11,1,6,0,0,0,6,13,0
,Favites,2,4,1,2,2,0,2,23,9,7,5,1,0,0,0,0,2,2,4,0,5,3,6,1,0,2,7,3,3,0,2,6,0,0,0,0,0,1,0,0,15,2,0,0,0,0,4,0,3,0,0,6,0,2,0,4,0,0,0,0,1,6,6,2,0,0,0,6,4,1,4,3,0,0,3,8,5,4,0,0,4,1,2,0,0,14,2,5,0,0,0,12,9,12
,Fungia,3,0,0,0,0,0,0,1,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,4,2,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Galaxea,,1,0,1,0,0,0,3,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1
,Goniastrea,,1,0,0,1,0,4,3,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11,4,2,2,3,6,2,1,1,2,0,1,0,2,6,0,0,0,1,1,2,3,0,0,5,0,0,0,0,14,1,9,1,1,0,3,4,8
,Goniopora,,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0
,Heliofungia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lepastrea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leptoria,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lobophyllia,,1,0,1,1,0,0,9,10,0,0,1,4,0,0,0,0,5,0,0,2,0,0,1,0,0,3,0,0,1,0,0,1,0,1,0,1,0,0,2,6,0,0,0,0,0,4,0,4,0,0,6,0,0,10,0,1,0,0,0,0,3,0,4,2,1,0,0,0,1,7,0,0,0,0,0,2,2,0,0,0,0,1,0,1,14,0,2,2,3,0,6,5,4
,Merulina,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
,Montastrea,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
,Montipora,,5,0,0,0,0,0,0,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,13,0,4,0,2,0,0,0,1,0,1,3,0,2,0,0,1,0,0,9,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,10,25,0,0,0,0,3,1,0,0,0,7,0,1
,Pachyseris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Pavona,,0,0,0,0,0,0,3,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,1,2,0
,Pectinia,,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,0,0,0,0,8,0
,Physogyra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Platygyra,,2,0,1,0,0,0,3,2,1,4,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,1,3,0,2,0,0,3,1,0,0,0,0,0,0,1,2,1,0,0,1,5,0,1,1,0,1,0,1,0,0,0,3,0,0
,Pocillopora,,0,4,10,2,0,1,1,3,0,2,0,0,0,0,0,0,0,1,0,5,12,15,2,0,3,4,0,7,0,0,0,2,2,4,4,0,0,2,4,13,3,3,2,0,0,2,0,0,2,0,7,0,0,0,0,9,10,0,0,1,0,0,4,0,1,0,0,1,0,0,5,10,15,2,1,0,0,2,0,4,16,6,5,0,1,0,3,0,1,0,0,0,1
,Porites,,0,0,6,0,2,3,31,16,4,0,20,10,1,1,7,7,5,3,3,13,9,3,45,9,16,12,6,3,6,6,8,3,4,0,0,3,3,4,3,22,3,18,0,0,0,8,1,3,0,3,0,0,4,0,8,17,0,4,0,0,5,12,3,0,0,2,50,37,13,14,6,2,10,24,22,44,37,1,2,5,17,4,4,3,27,16,35,10,7,8,54,72,45
,Seriatopora,,0,0,2,0,0,0,1,1,0,0,16,6,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,3,0,0,5,14,9,0,0,0,0,3,2,2,0,0,0,1,1,2,1,3,0,1,0
,Stylophora,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Symphyllia,,1,0,0,1,1,0,3,6,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,1,2,7,5,0,2,2,0,0,0,2,0,0,14,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,1,1,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,5
,Turbinaria,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
